cid,present_locally,pinned,note
Qmdavuf3ALUKbRgAQw6f3NpJb9Z4xz4UD5pnxEoU2WfqM3,yes,yes,already pinned
QmdiqxJw3CczHTujpLnn9NqyidWLVfiAeXonmi4nXKwkgr,yes,yes,already pinned
QmdkPTCqu5MdTQMQB7vXCFUZKfLffuqrZ4fqMsJ6k75Fck,yes,yes,
QmdmQJo2q47L7HzUgbVemGMo9Nxeskd1QidJ5kMjWYY2DR,yes,yes,
QmdmtkPLNPntZFv54GZCcmwvF7snaS9skB2vSfqLjYzR5N,yes,yes,
QmdvXMVn2xzWqGKPfuPCqJwFJyA2wpJJpL246BkYS4q2w1,yes,yes,
Qme5Jb3QoxrbHPxjMXsRcKfW5iGVnjeBzh5kTBRGYrtRsJ,yes,yes,
QmeCGU5LFhTEzwgAFsnzxPnUbDJz4NZZYrjVrxVjtu5evm,yes,yes,already pinned
QmeFtiyhrjnyuaBBJzntr5vUetRKStBgxwbViNDMVZrmVT,yes,yes,
QmeLt7fa858Yz6Jpk5bzXqwSFm28pbb4sqh2Arp9D4U1Fx,yes,yes,
QmeN6NrRfNSXpiCazWGVbZycLhR14kMvEJ1ErMDBVXwqNh,yes,yes,
QmeRPCGiskdbYC6dCzyVX2mtdUbTWBuV2DMAGTcLAJR4HZ,yes,yes,already pinned
QmeXgkCiiWKBxMZpAsHbz6bg5HcemqMDUW4uFkHSz5mdgY,yes,yes,
QmeZyFMwQUxpL6BDorjUTd6dBdMhkNLECmgmEei8j3STYY,yes,yes,
Qmee4CQn7FcAkTsYnhV8EBMuv2QbfQaQLKkvqSRQNFZeCj,yes,yes,
Qmeqbn6dXcgdfodDGGR1KBDJWZ1qPCBwvpVCKxckbVTeDv,yes,yes,
Qmf2VUC1cmo4aGWwGK6smNwxfvGFBikiFBvr49VfCPi7Un,yes,yes,
QmfAdgAhPFZgK745EKvCx4mqYWZoEhUjnW9yyWdSu23dKS,yes,yes,
QmfDNQRUc6wjSzwwFQf4m1wAMnm725fG6g6b4ABhiRNprX,yes,yes,already pinned
QmfEhBxyeomxb7FLGAnPvwDnjiC6Jtq1Rg2PV9HqNW7gFf,yes,yes,already pinned
QmfEmMuPnuiWg9YBYBSGyx2TcSfSVwYAPJWq7waz7wbBvD,yes,yes,
QmfGvVXZb4auSv6AVk62T1ekZNDKyuf7nYdkX8ZCUHb7Cd,yes,yes,already pinned
QmfNQs9mASTTqyiydE9kbknxeiR4m95jCtpVsW51o4MwKz,yes,yes,
QmfQyK6YuqfsjZhMkvFn8QkyKwZXZby6KqNyczLBNgErin,yes,yes,
QmfRvoTQLkxvdcdCe9dRBdKKCJNMCU6PMswrSbwQzfjGZ8,yes,yes,
QmfSfA7CZBSHBb493fkWGmAzoV5rVqrxKb9q8xWy1QyYmE,yes,yes,
QmfWouVgMqmBeQjVbNfoasSgbHj2AkPf8NdpwsmD4bSAdQ,yes,yes,
QmfY1Aj7xnRXfgLNACfZEB8QnyW3UfdFoVsf2wSzCHRXxa,yes,yes,
