cid,present_locally,pinned,note
QmNPXWZ9UmEj2E6N632NoK3ubrSLYZkkZp7WJxqf7jGFCf,yes,yes,
QmNPY57ccxEdY2WpKrcQvxLuKwhPda3gwfzqRhNiAy5stt,yes,yes,
QmNPY85sxQ7NRHjdu4YQ4kScreVFT4Xmo4EFVB2Bv172xD,yes,yes,
QmNPbKogv2ncnw3JJbejBBMWhWKb2wid8agwWb2Tg6s6ym,yes,yes,
QmNPbecqm6ujbLBdP1QK9zoAQ2kz79pdTonvWrB1cpqTCG,yes,yes,
QmNPbgaMvdwhrv7VjumiC4v61qSvGtU4sz3LyhwA9wnHBv,yes,yes,
QmNPbrh93Y9Ae3w3XmH9RojULEE6yVXhxUCVDC52RXKFAr,yes,yes,
QmNPdgG3M1B6ZHhSPuSEuafj8ordwYnfj9dUTF9WkrV8HA,yes,already,
QmNPgas4vq9gkcQr6YFJ6dK3C2yhR8gwGJW7Hi9BUBJCwU,yes,already,
QmNPhBWQPj9ofZ9EQzsyNcJjBzm3mt6xLonC8riFoBScj3,yes,yes,
QmNPhpq1P5b41KTdP8siSpYPTrFBjd147pqrztFG8n6oAs,yes,yes,
QmNPiT32EY8AQtUGbUBdGjNMQQus9MdSNzF2DSKXL8XoL7,yes,yes,
QmNPik48JX4qb9KbPXKafE1Ro6Vw6YKEsKj1TcLtFNPz2a,yes,yes,
QmNPiqMmkPx7pKFpUMoHadnfZ3fMDGhYRycGiNW3shGmTV,yes,yes,
QmNPmYweN3oKmS7Jox2eyKmnKFVWCBxP63Ufno2Vy9eQ9w,yes,yes,
QmNPpqtZ8iNwT67gC59UWYnBhbgQy8gVrKaT2t4kGrgxwS,yes,yes,
QmNPqiHx7FYmxDCnWEEZkCy7LkuQK2tpAts1aZa2sAkw3s,yes,yes,
QmNPtswbzfNg78Jo78TYLZ76dgkVA51b2iAeqDS3idvDgT,yes,yes,
QmNPuy5Y8AK4X75YkHzx3U6RYjPRQNrgdZjCmzgpCE2NnV,yes,yes,
QmNPx19mvMzhCaWgc2fNLaMgcDHJQMVW8HxEcHQgRyCTGR,yes,yes,
QmNPyK4KWvWZ5nv24Q6PjnjhwMUjN7yHsvVxYp66rUPE7F,yes,yes,
QmNPz4MuKQU4FiEjA2GqC9tkhLmN73BdgWgTHjoPtnHXfK,yes,yes,
QmNPz9FYscu5KE5iHgFZ68vNZTmZmYc8dEBfZuR3f1Xk12,yes,yes,
QmNPzXYJEETPBoNLFLQCDipANSd1vPnvkch9r1AGHwTjcN,yes,yes,
QmNQ21WTsJbRVUowpFLjn4Hes8KDodjTYUdZCzH6gXnqiA,yes,yes,
QmNQ27YAjSsePaZ2eSG5r5oEAELQCgPw1unynyCAPPqdcX,yes,yes,
QmNQ38HQVwfscJ2BwEwnKCNnGLR7T5qE2NM2q6josNFjra,yes,yes,
QmNQ3cuVoQ9ZS1ssNeKTt3Mh83djjT1xJUYtXweoG3iFFS,yes,yes,
QmNQ3jirYe8ERWMspPVQiR4kuGq3gf7F1FYfC3kpz3PyBe,yes,yes,
