category,opensea_slug,opensea_url,bound_collection_uuid,uuid_your_api_returns_now,eth_contracts,os1_legacy_id,your_series_title,your_exhibition
1_live_series_in_your_mapping,fine-particles-by-joanie-lemercier,https://opensea.io/collection/fine-particles-by-joanie-lemercier,22356067-3858-46c7-ba80-02f0dafa04b6,,,31010751,Fine Particles,+GRAPH
1_live_series_in_your_mapping,floralia-ii-by-sabrina-ratte,https://opensea.io/collection/floralia-ii-by-sabrina-ratte,ca471793-baf8-43db-bf1a-b811f4608297,,,24557492,Floralia II,Fragments of a Hologram Rose
1_live_series_in_your_mapping,flow-painting-by-ykxotkx,https://opensea.io/collection/flow-painting-by-ykxotkx,4d23d1ce-97c8-411b-b615-e64ca8d78c3c,,,33396363,Flow Painting,流れのパターン / Patterns of Flow
1_live_series_in_your_mapping,flows-of-pattern-by-shunsuke-takawo,https://opensea.io/collection/flows-of-pattern-by-shunsuke-takawo,dce8e5ee-869d-41f6-8c0b-de98a4a0a98f,,,33396286,Flows of Pattern,流れのパターン / Patterns of Flow
1_live_series_in_your_mapping,forest-transmission-by-kyttenjanae,https://opensea.io/collection/forest-transmission-by-kyttenjanae,48f6b892-d3aa-4eae-87db-040e195e00a5,,,24557476,Forest Transmission,Fragments of a Hologram Rose
1_live_series_in_your_mapping,fractura-by-francoise-gamma,https://opensea.io/collection/fractura-by-francoise-gamma,f503f9fe-276c-4519-92b7-8a2239cfa489,,,24557513,Fractura,For Your Eyes Only
1_live_series_in_your_mapping,fragments-30-2051-n-90-1121-w-by-anna-ridler-carol,https://opensea.io/collection/fragments-30-2051-n-90-1121-w-by-anna-ridler-carol,e1b87ae6-d871-4e70-8df1-f9cd7dbd09f9,,,24557601,"Fragments:30.2051 N, 90.1121 W",Reflections in the Water
1_live_series_in_your_mapping,fragments-of-self-by-terence-broad,https://opensea.io/collection/fragments-of-self-by-terence-broad,83c776c3-262e-4f1d-95f9-97f6d2ccb7cd,,,24557621,Fragments of Self,Reflections in the Water
1_live_series_in_your_mapping,free-fall-study-iii-by-shi-zheng,https://opensea.io/collection/free-fall-study-iii-by-shi-zheng,06dccbad-8fee-4c3c-934a-7eb45bd0b9d1,,,24557482,Free Fall Study III,The Long Cut
1_live_series_in_your_mapping,ganxillo-by-anna-carreras,https://opensea.io/collection/ganxillo-by-anna-carreras,31a680b4-c00a-4eac-8729-cba633c91c54,,,24557511,Ganxillo,For Your Eyes Only
1_live_series_in_your_mapping,glissbob-by-jan-st-werner,https://opensea.io/collection/glissbob-by-jan-st-werner,ec014e95-c9de-4d2e-b464-d95c3f7ae19c,,,23766768,Glissbob,Polyarrythmia
1_live_series_in_your_mapping,gray-matter-by-auriea-harvey,https://opensea.io/collection/gray-matter-by-auriea-harvey,8323eb9a-b406-4fbc-8550-fcd12213440a,,,24557654,Gray Matter,Gray Matter
1_live_series_in_your_mapping,gray-matter-material-immaterial-by-auriea-harvey,https://opensea.io/collection/gray-matter-material-immaterial-by-auriea-harvey,7ad7ee07-883a-4989-a087-e3b03fd4a69d,,,24557609,Gray Matter: Material/Immaterial,Gray Matter
1_live_series_in_your_mapping,grey-path-by-satoshi-aizawa,https://opensea.io/collection/grey-path-by-satoshi-aizawa,4fbf3d62-4824-4e2a-9f5c-8051f7c7d566,,,33396482,Grey Path,流れのパターン / Patterns of Flow
1_live_series_in_your_mapping,hard-copy-by-maya-man,https://opensea.io/collection/hard-copy-by-maya-man,5ad273eb-a00f-43a6-80a1-9eca7f4b201d,,,,Hard Copy,Net Evil
1_live_series_in_your_mapping,haristory-by-auriea-harvey,https://opensea.io/collection/haristory-by-auriea-harvey,cc86cf63-6b79-4bba-9613-e362851cbbdc,,,24557635,Haristory,Gray Matter
1_live_series_in_your_mapping,hatless-by-francoise-gamma,https://opensea.io/collection/hatless-by-francoise-gamma,4f6816b5-3d84-4715-b025-c8a837030b49,,,24557446,Hatless,P1×3L
1_live_series_in_your_mapping,hedgerow-still-life-by-sofia-crespo,https://opensea.io/collection/hedgerow-still-life-by-sofia-crespo,8d97e575-0837-4092-bca1-10d58195e414,,,24557543,hedgerow still life,Field Guide
1_live_series_in_your_mapping,housewives-making-drugs-by-mary-maggic,https://opensea.io/collection/housewives-making-drugs-by-mary-maggic,6d1a279d-0ddc-4067-84e4-0e0e96fd36fb,,,24557578,Housewives Making Drugs,WETWARE
1_live_series_in_your_mapping,human-abecedary-inter-letters-by-viktor-timofeev,https://opensea.io/collection/human-abecedary-inter-letters-by-viktor-timofeev,d08770b9-536b-4129-b122-b47269fb0b64,,,32064298,Human Abecedary: Inter-Letters,One to Zero
1_live_series_in_your_mapping,hypothetically-macro-by-iskra-velitchkova,https://opensea.io/collection/hypothetically-macro-by-iskra-velitchkova,d137c01a-2c3b-427e-8de4-a7e5677aaeda,,,24557545,Hypothetically Macro,Field Guide
1_live_series_in_your_mapping,hypothetically-micro-by-iskra-velitchkova,https://opensea.io/collection/hypothetically-micro-by-iskra-velitchkova,412f980a-0fbc-4458-983a-85a1d81b6371,,,24557553,Hypothetically Micro,Field Guide
