series_id,artworks_bytes,artworks_objects,previews_bytes,previews_objects
f4cf4ad5-b654-48d3-8ea0-85ec65eb17fa,367692291,14,167858,22
f503f9fe-276c-4519-92b7-8a2239cfa489,11091346,6,2041497,2
f548cb77-a829-42ea-b097-3b54603a0d8f,10006247,6,376057,1
f5f51874-1c4c-42f8-9433-423fd791d6a8,24089030,6,5460406,1
f65cb7b3-89e2-47eb-9e73-3b371105e15e,367722409,17,280561,33
f6d4f5f8-7f31-48c9-871e-b2cf4d4270aa,9944064,8,512138,4
f8d24d67-7cd9-4465-9665-2c063ae4e073,172067420,7,4803835,2
f97bf0da-0630-4847-952a-902060b8081c,6604647,6,369341,10
faa504eb-868c-4134-a7b2-eef051b9abbc,404617732,8,7942658,16
fd2cbf3b-152e-4ed1-b2ae-21f65b2e2d0f,3808253940,7,1149099148,2
fe324a25-a5b3-4b17-bae4-8d4109f01fe7,6430770,5,195505,5
fe63cbf2-7377-4497-919b-853dd22c63e7,207597195,5,59144515,1
ff673a40-0bfb-4ac9-b6a3-2d9cc8385463,367688501,14,167859,22
