id,vendor_release_id,vendor_release_slug,name,total_mints
1568,0988ddf4-dde1-40cc-812e-6f38f740b88e,cipher-tablet-zxr,Capital Persuasion,100
1571,29c87f89-fd35-4294-8e26-3cdc022d00c6,proof-of-spirit-act-ii-jtq,Proof of Spirit — Act II,50
1574,4e0e6a12-b5a2-40b1-8e30-c08985c11d29,the-divers-v-negative-left-ortho-avn,The Divers V: negative (left ortho),100
1575,6d1a279d-0ddc-4067-84e4-0e0e96fd36fb,housewives-making-drugs-7xb,Housewives Making Drugs,80
1585,a8cefd59-fd74-4ac1-9cdc-c91d1ef56e7e,sound-piece-v-qyn,SOUND PIECE V,30
1599,54adc6ea-44e7-4ba2-b9d0-a5f834f40d50,the-idunnos-hhr,The Idunnos,50
1655,2788daa0-6065-4eb1-84c2-6d46828c4453,metamosaic-urn,Metamosaic,128
1657,471b892b-9373-4245-9b80-c6e5c706ae43,integrity-protocol-lower-limb-lecture-cop,Integrity Protocol / Lower Limb Lecture,30
1658,c4c506d9-a409-471a-bbf9-012bcfb1fa73,putins-a-wasteman-ds9,Putins a WASTEMAN,80
1660,ccb212b8-76cd-4c54-824a-266f33fe057d,cancel-yourself-yji,CANCEL YOURSELF,30
1671,8d8e8feb-da80-4dc4-b2f0-b7c7a3472f29,play-from-memory-xyq,Play from Memory,30
1690,a00f828f-f402-42e6-b382-0d99e7881da7,bloomcore-cyq,BLOOMCORE,55
1696,821dd86a-8764-441f-af58-95c857a7c4d3,unsupervised-machine-hallucinations-moma-dreams-b-fei,Unsupervised — Machine Hallucinations — MoMA Dreams — B,100
1709,f8d24d67-7cd9-4465-9665-2c063ae4e073,a-la-recherche-de-linformation-perdue-kuw,A la recherche de l'information perdue,80
